student_id,is_stressed,true_ratio_cat,progress_percentage
1297725,0,2,0.5222222222222223
1972725,1,2,0.4966666666666666
1784201,1,1,1.0
1339527,1,2,1.0
1808815,1,2,0.8044444444444445
1219536,0,2,1.0
1424069,0,1,0.7966666666666667
1917058,0,4,0.7916666666666666
1287295,0,1,1.0
1551514,0,2,1.0
1816047,1,4,0.3333333333333333
1338834,1,3,0.45
1425492,1,3,0.96
1570427,0,1,0.8883333333333333
1776273,1,1,0.8
1851615,1,1,0.6666666666666666
1359545,1,3,0.9722222222222222
1202937,0,1,0.8300000000000001
1797946,1,2,0.337037037037037
1911100,1,5,0.4827586206896552
1138353,0,1,0.7300000000000001
1635490,0,1,1.0
1994712,0,1,1.0
1319445,0,5,1.0
1392286,1,4,0.5555555555555556
1403994,1,1,1.0
1071238,1,2,0.8
1214696,1,1,0.812
1306427,1,5,1.0
1535556,0,2,1.0
1436785,1,4,1.0
1504949,1,3,0.7142857142857143
1103098,1,3,1.0
1142201,0,3,0.992
1666176,0,3,0.926153846153846
1322686,0,4,0.0
1847744,1,2,0.5433333333333333
1800994,0,3,1.0
1216805,0,1,0.7575000000000001
1571421,0,1,0.5484615384615384
1469869,0,4,0.0
1405934,1,3,0.87625
1752902,0,5,1.0
1493950,1,1,1.0
1204257,0,5,1.0
1562985,0,3,1.0
1353885,0,3,1.0
1752380,0,1,1.0
1772488,1,2,0.2516666666666666
1394387,1,3,1.0
1164501,1,2,0.2875
1273377,0,2,0.5047368421052632
1846987,1,3,0.6414285714285715
1588535,1,1,1.0
1437938,0,1,1.0
1710015,0,3,0.8
1507936,0,3,1.0
1516201,0,2,0.75
1746269,1,3,1.0
1996143,1,3,0.6666666666666666
1375005,0,3,1.0
1853171,0,1,1.0
1492133,0,5,0.6863157894736842
1630376,1,1,0.7384615384615384
1750321,1,1,0.9175
1130452,0,4,0.9
1255138,1,4,0.505
1196220,0,3,0.865
1770158,1,1,1.0
1723136,1,2,0.4436363636363636
1678723,0,4,0.8173333333333334
1715230,1,3,0.9566666666666668
1687839,1,1,0.6142857142857142
1733204,0,2,1.0
1143552,0,1,0.6971428571428572
1363174,1,3,1.0
1437938,0,4,1.0
1991387,1,3,0.8130000000000001
1062575,1,1,1.0
1322425,1,2,1.0
1766507,1,5,1.0
1210552,1,3,0.923846153846154
1484201,1,4,1.0
1636380,0,1,0.6799999999999999
1822229,1,3,1.0
1643090,1,3,0.541875
1139029,0,1,0.7525
1643090,0,1,1.0
1845778,1,3,0.958735632183908
1968763,0,3,1.0
1776258,1,1,1.0
1748760,1,1,0.95375
1360834,0,3,1.0
1351600,1,3,0.6699999999999999
1344917,1,3,0.8841176470588235
1618223,0,4,0.98
1387029,1,3,1.0
1719231,1,4,1.0
1215369,0,2,1.0
1479114,1,4,1.0
1942363,0,1,0.9966666666666668
1301190,1,2,0.6733333333333333
1840583,0,4,1.0
1002788,1,4,1.0
1875459,0,2,0.9806666666666668
1387948,1,4,0.7025
1180757,1,3,1.0
1069760,1,4,0.9975
1988989,0,3,0.9031578947368422
1220345,0,3,1.0
1598153,0,1,0.8585714285714285
1465734,0,2,1.0
1789844,1,1,1.0
1751093,0,2,1.0
1367483,0,3,0.9113636363636364
1242184,1,2,0.9246153846153846
1327326,1,3,0.9090909090909092
1665815,0,1,0.9245454545454546
1755991,0,1,0.893846153846154
1497124,0,2,0.8707142857142857
1121803,0,2,1.0
1415571,0,2,0.86125
1893534,0,3,0.9409090909090908
1477329,0,4,1.0
1717633,0,3,1.0
1755098,0,4,1.0
1288708,1,4,0.95
1329199,1,3,1.0
1415571,1,3,1.0
1789844,1,4,0.9641176470588236
1627755,1,5,1.0
1492613,0,3,0.8844444444444445
1387638,1,1,0.8472727272727273
1471501,1,2,0.7876923076923077
1091638,0,2,1.0
1983218,1,4,1.0
1957026,0,2,0.8911111111111111
1102295,0,1,0.8789999999999999
1663728,0,1,1.0
1840077,0,3,1.0
1779421,0,1,1.0
1491974,1,1,0.8677777777777779
1741808,0,2,0.8888235294117647
1383369,0,1,0.515
1749496,0,3,0.5742857142857142
1976461,0,5,1.0
1714803,1,1,0.76
1381293,1,2,0.921818181818182
1447906,1,3,0.7111764705882353
1232688,0,3,0.9629629629629628
